"id","description","timestamp","url","name","n"
2,"",2016-09-19 21:39:29,"http://qua-kit.ethz.ch/mooc/proposals/view/31","anonymous edX student",1
4,"The proposal bases in the idea of the different grids to provide the orientation for the houses creating public spaces on the inside for the community to share. Creating privacy inside and open to new public spaces. Leaving some areas outside as buffers between the community and the city that can be shared.",2016-09-19 03:43:00,"http://qua-kit.ethz.ch/mooc/proposals/view/1","anonymous edX student",1
5,"",2016-09-25 12:09:25,"http://qua-kit.ethz.ch/mooc/proposals/view/283","Toumert",2
6,"",2016-09-19 03:54:09,"http://qua-kit.ethz.ch/mooc/proposals/view/2","anonymous edX student",1
7,"",2016-09-23 07:04:56,"http://qua-kit.ethz.ch/mooc/proposals/view/197","anonymous edX student",3
8,"The design allows for front-and-back views and street usage. Lines of sight from buildings are not obstructed by other buildings where possible. Buildings are spaced to allow for common and multi use spaces, such as playgrounds and green spaces. Longer sight lines are allowed for, both along rows of buildings and from the main street so that a more visually interesting and livable community space can be created. CPTED can be included from the outset of planning to promote security and safety considerations (extended sight lines, design that encourages citizen engagement, visibility, etc.) ",2016-09-19 21:21:01,"http://qua-kit.ethz.ch/mooc/proposals/view/29","bbutlin",1
9,"Highlights of the design are
- two activity strips running perpendicular with dwellings on both sides
- activity strips intersecting at right angles at an entrance location
- large open green space inside precinct
- high density (tall) structures located nearer to activity strips
- low density (well spaced) structures facing roads, opportunities to increase visual amenity
- a shared private space in corner of precinct making use of unusual block shape",2016-09-30 06:54:23,"http://qua-kit.ethz.ch/mooc/proposals/view/567","anonymous edX student",2
11,"",2016-09-24 14:01:45,"http://qua-kit.ethz.ch/mooc/proposals/view/247","anonymous edX student",1
14,"",2016-09-19 10:29:10,"http://qua-kit.ethz.ch/mooc/proposals/view/5","anonymous edX student",1
27,"the project pretends the wellbeing of inhabitants with  the best use of the limited space. That includes 3 access streets or roads, depending on the interest of the population  and the actual and future needs. That also is required for emergency access. 2 squares, plazas, forums. 2 small shops corners in the outside area. The project pretends  intercommunication, centrality and interaction. We need tp know but we do not have yet information about social, personal, cultural, economical aspects of the inhabitants, as well as local regulations, or cultural perceptions, for example, the use of attached houses reduces cost but needs to be attractive to inhabitants. we need to know weather conditions and accessibility for materials. ",2016-09-20 08:31:33,"http://qua-kit.ethz.ch/mooc/proposals/view/52","javierdb",3
